epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,406.097,0.93943,0.51849,0.94558,0.99846,1,0.995,0.71259,1.13243,0.49894,1.0071,0.0011486,0.0011486,0.0011486
45,415.061,0.88714,0.48525,0.9092,0.99738,1,0.995,0.75632,1.0151,0.48084,0.97268,0.0011288,0.0011288,0.0011288
46,424.073,0.97782,0.51217,0.96106,0.9983,1,0.995,0.73999,0.97706,0.48517,0.96513,0.001109,0.001109,0.001109
47,433.184,0.92294,0.48226,0.95017,0.99843,1,0.995,0.76588,0.94127,0.46361,0.94533,0.0010892,0.0010892,0.0010892
48,442.315,0.93596,0.49859,0.95166,0.99909,1,0.995,0.74649,0.99304,0.47613,0.94692,0.0010694,0.0010694,0.0010694
49,451.314,0.98923,0.51645,0.96503,0.99879,1,0.995,0.75761,0.99953,0.45987,0.95136,0.0010496,0.0010496,0.0010496
50,460.253,0.96639,0.50235,0.93077,0.99844,1,0.995,0.73644,1.0266,0.45639,0.963,0.0010298,0.0010298,0.0010298
51,469.297,0.93017,0.49796,0.93752,0.98666,1,0.99426,0.77276,0.92903,0.44177,0.93725,0.00101,0.00101,0.00101
52,478.339,0.85944,0.46269,0.91354,0.98738,1,0.99475,0.76016,0.99752,0.44602,0.94489,0.0009902,0.0009902,0.0009902
53,487.29,0.87624,0.47062,0.92508,0.98765,0.99961,0.99463,0.73045,1.0268,0.45796,0.95733,0.0009704,0.0009704,0.0009704
54,496.266,0.88125,0.46798,0.93056,0.9975,1,0.995,0.74523,0.99759,0.4497,0.95176,0.0009506,0.0009506,0.0009506
55,505.238,0.87484,0.46206,0.92262,0.98671,1,0.99426,0.79172,0.83214,0.43036,0.91519,0.0009308,0.0009308,0.0009308
56,514.314,0.90099,0.46575,0.91988,0.99901,1,0.995,0.79773,0.84529,0.42649,0.91453,0.000911,0.000911,0.000911
57,523.486,0.87319,0.45948,0.93539,0.99601,1,0.995,0.78673,0.88707,0.41933,0.92844,0.0008912,0.0008912,0.0008912
58,532.425,0.84772,0.46334,0.94145,0.99534,1,0.995,0.77648,0.90055,0.41009,0.92954,0.0008714,0.0008714,0.0008714
59,541.396,0.86875,0.45619,0.92029,0.99433,1,0.995,0.73949,1.03015,0.44057,0.95845,0.0008516,0.0008516,0.0008516
60,550.356,0.83707,0.44709,0.90275,0.99913,1,0.995,0.762,0.96663,0.43414,0.95117,0.0008318,0.0008318,0.0008318
61,559.417,0.83916,0.45542,0.90408,1,0.99776,0.995,0.75287,0.94888,0.42884,0.94152,0.000812,0.000812,0.000812
62,568.458,0.82041,0.44352,0.91559,0.99869,1,0.995,0.78292,0.93166,0.42596,0.92936,0.0007922,0.0007922,0.0007922
63,577.496,0.83574,0.45811,0.93112,0.99846,1,0.995,0.79474,0.88136,0.41343,0.91672,0.0007724,0.0007724,0.0007724
64,586.567,0.82821,0.44187,0.89227,0.98675,1,0.99475,0.76363,0.95252,0.42053,0.96368,0.0007526,0.0007526,0.0007526
65,595.531,0.84699,0.44059,0.92668,0.98694,1,0.99463,0.7819,0.90474,0.41084,0.93075,0.0007328,0.0007328,0.0007328
66,604.473,0.82449,0.43971,0.91283,0.99727,1,0.995,0.76831,0.96269,0.42057,0.94451,0.000713,0.000713,0.000713
67,613.45,0.84227,0.45686,0.91594,0.99569,1,0.995,0.76407,0.97839,0.46193,0.95167,0.0006932,0.0006932,0.0006932
68,622.49,0.8291,0.43958,0.91166,0.9985,1,0.995,0.74884,0.94658,0.45229,0.93612,0.0006734,0.0006734,0.0006734
69,631.69,0.87739,0.44541,0.91812,0.98763,0.99838,0.99463,0.79787,0.86477,0.44141,0.91577,0.0006536,0.0006536,0.0006536
70,640.775,0.85205,0.44661,0.91055,0.9871,1,0.99463,0.76847,0.96417,0.42717,0.95093,0.0006338,0.0006338,0.0006338
71,649.803,0.81334,0.43729,0.92019,0.99902,1,0.995,0.76614,0.95138,0.42447,0.94609,0.000614,0.000614,0.000614
72,658.982,0.82644,0.43317,0.92058,0.99747,1,0.995,0.80415,0.86875,0.39705,0.91662,0.0005942,0.0005942,0.0005942
73,668.188,0.7848,0.42258,0.89491,0.99945,1,0.995,0.79145,0.8953,0.39676,0.92576,0.0005744,0.0005744,0.0005744
74,677.258,0.81235,0.44175,0.92802,0.99895,1,0.995,0.77644,0.91766,0.41169,0.93154,0.0005546,0.0005546,0.0005546
75,686.467,0.80135,0.42228,0.90546,0.99862,1,0.995,0.78817,0.89943,0.39841,0.93509,0.0005348,0.0005348,0.0005348
76,695.57,0.76176,0.4123,0.90666,0.99806,1,0.995,0.76321,0.9862,0.41676,0.96358,0.000515,0.000515,0.000515
77,704.629,0.76154,0.40923,0.89782,0.99879,1,0.995,0.77509,0.97098,0.40758,0.95778,0.0004952,0.0004952,0.0004952
78,713.682,0.7567,0.40238,0.87248,0.99906,1,0.995,0.78693,0.94104,0.43283,0.93209,0.0004754,0.0004754,0.0004754
79,722.737,0.76888,0.41358,0.89261,0.99917,1,0.995,0.77047,0.96157,0.42427,0.94339,0.0004556,0.0004556,0.0004556
